xx,yy,OBJECTID,Description,ParkType,Car_Park,Dog_Off_Leash_Area,Electric_BBQ,Picnic_Set,Rubbish_Bins,Shelter,Toilets,Water_Fountain,Basketball_Court,Play_Equipment,Playground_Area,Skate_Park,Exercise_Equipment,Suburb,ADDRESS,APS
513598.229,7007608.1425,1070,Seaside Park,Park\Local Recreatio,No,No,No,No,No,Yes,No,No,No,No,No,No,No,BANKSIA BEACH,2 SEASIDE DRIVE BANKSIA BEACH,NO
496178.1404,6984197.4108,1071,Kul-la Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,PETRIE,1 KURRUMBA DRIVE PETRIE,NO
496951.1056,6995280.6646,1072,Wally Day Park,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,BURPENGARY,7-9 TORELLI DRIVE BURPENGARY,NO
495842.2397,6999109.7799,1073,Lindsay Road Sportsgrounds,Park\Local Sports Pa,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,MORAYFIELD,100 LINDSAY ROAD MORAYFIELD,NO
495489.6121,6974142.4228,1074,Tallebudgera Crescent Park,Park\Linear Linkage,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,ALBANY CREEK,65 BOONDOOMA CIRCUIT ALBANY CREEK,NO
498056.3384,6974688.6975,1075,Mahaca Park,Park\Linear Linkage,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,ALBANY CREEK,1-7 FRED CAMPBELL DRIVE ALBANY CREEK,NO
500569.2863,6988934.4083,1076,Pride Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,NORTH LAKES,25 CARMODY PARADE NORTH LAKES,NO
500542.5699,6989939.5557,1077,Aurora Boulevard Park,Park\Local Sports Pa,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,NORTH LAKES,22 AURORA BOULEVARD NORTH LAKES,NO
509411.0261,6988890.9801,1078,Pask Park,Park\Local Recreatio,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,KIPPA-RING,8A TEQUILA STREET KIPPA-RING,NO
495561.6891,6981724.1561,1079,Durakai Reserve,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,BRAY PARK,41 DUNDEE STREET BRAY PARK,NO
511850.1678,7004725.1516,1080,Cremorne Court Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,SANDSTONE POINT,1-11 CREMORNE COURT SANDSTONE POINT,NO
497226.1779,6989924.7415,1081,Bazeridge Drive Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,NARANGBA,73-79 BAZERIDGE DRIVE NARANGBA,NO
495099.5198,6979583.9298,1082,Rolland Parade Park,Park\Local Recreatio,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,WARNER,30 ROLLAND PARADE WARNER,NO
