xx,yy,OBJECTID,Description,ParkType,Car_Park,Dog_Off_Leash_Area,Electric_BBQ,Picnic_Set,Rubbish_Bins,Shelter,Toilets,Water_Fountain,Basketball_Court,Play_Equipment,Playground_Area,Skate_Park,Exercise_Equipment,Suburb,ADDRESS,APS
510310.9478,6987482.5137,1,Plume Street Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,,,NO
501069.8632,6993095.9949,2,Wagtail Drive Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,DECEPTION BAY,5 YALLATUP STREET DECEPTION BAY,NO
500052.4954,6985431.1113,3,Haithi Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,Yes,No,No,No,KALLANGUR,18 DUFFIELD ROAD KALLANGUR,NO
486056.7173,7008125.149,4,Wamuran Sports Association,Park\District Sports,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,WAMURAN,84 CAMPBELLS POCKET ROAD WAMURAN,NO
494600.5941,6994588.3921,5,Harris Avenue Sports Complex,Park\District Sports,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,NARANGBA,164-168 YOUNG ROAD NARANGBA,NO
503814.2825,6991510.4732,6,Dunstan Drive Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,DECEPTION BAY,19 DUNSTAN DRIVE DECEPTION BAY,NO
482802.4487,7015709.8751,7,Manordowns Drive Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,D'AGUILAR,7-17 MANORDOWNS DRIVE D'AGUILAR,NO
501055.9804,6988631.2546,8,Borbridge Street Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,NORTH LAKES,2 BORBIDGE STREET NORTH LAKES,NO
510731.9688,6988588.5143,9,Redcliffe Showgrounds,Park\Specific use Sp,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,REDCLIFFE,Lot 804 LAMINGTON DRIVE REDCLIFFE,NO
509500.1463,6990808.6896,10,Southern Cross Park,Park\Local Recreatio,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,NEWPORT,17A SOUTHERN CROSS DRIVE NEWPORT,NO
494049.2103,7001104.5833,11,Walkers Road Park,Park\Linear Linkage,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,MORAYFIELD,106-116 WALKERS ROAD MORAYFIELD,NO
494324.7244,6995231.9313,12,River Oak Way Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,NARANGBA,Lot 943 HIDEAWAY CLOSE NARANGBA,NO
503416.8291,6992108.2738,13,Esplanade Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,DECEPTION BAY,2B MAINE TERRACE DECEPTION BAY,NO
500072.2632,6989406.005,14,Triumph Street Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,NORTH LAKES,13 CHASE CRESCENT NORTH LAKES,NO
505753.9557,6989912.7897,15,Dobell Park,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,ROTHWELL,19-31 DOBELL STREET ROTHWELL,NO
499769.6867,6981562.7401,16,Rob Akers Reserve,Park\Local Sports Pa,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,STRATHPINE,176 BELLS POCKET ROAD STRATHPINE,NO
498650.8006,6979924.6434,17,Lang Park,Park\Local Recreatio,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,,,NO
497005.2293,7003820.2027,18,Collins Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,CABOOLTURE,12 SUMMERFIELDS DRIVE CABOOLTURE,NO
513458.3686,7009421.266,19,Endeavour Drive Park (North),Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,BANKSIA BEACH,84 ENDEAVOUR DRIVE BANKSIA BEACH,NO
493720.9192,7002847.0629,20,Renmark Crescent Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,CABOOLTURE SOUTH,30 RENMARK CRESCENT CABOOLTURE SOUTH,NO
496956.4703,6979392.7634,21,Stanley Street Community Reser,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,STRATHPINE,284 STANLEY STREET STRATHPINE,NO
498992.643,6978914.4701,22,Mcnevin Park,Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,BRENDALE,26 SOUTH PINE ROAD BRENDALE,NO
501731.675,6993922.431,23,Huntington Court Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,No,No,No,No,No,No,DECEPTION BAY,11-15 ASTER STREET DECEPTION BAY,NO
495336.6489,7006307.2883,24,Pumicestone Road Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,CABOOLTURE,90 PUMICESTONE ROAD CABOOLTURE,NO
496807.6143,6975110.1886,25,Wruck Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,ALBANY CREEK,21 WRUCK CRESCENT ALBANY CREEK,NO
497991.4485,6975346.9807,26,Wolter Park,Park\Local Sports Pa,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,ALBANY CREEK,42 JACARANDA DRIVE ALBANY CREEK,NO
495180.0249,6971144.4246,27,Bimbi Reserve,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,ARANA HILLS,11 CASWELL PLACE ARANA HILLS,NO
491843.9659,7003413.5492,28,Bryce Hausmann Park,Park\Local Recreatio,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,BELLMERE,54 CLEMENTINE STREET BELLMERE,NO
502224.632,6989905.1167,29,Riley Court Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,NORTH LAKES,17 RILEY COURT NORTH LAKES,NO
498214.0889,6979129.9995,30,Leitchs Road Park (South),Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,BRENDALE,310 LEITCHS ROAD BRENDALE,NO
513842.4594,7008233.4697,31,Tradewinds Drive Park (East),Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,BANKSIA BEACH,32 TRADEWINDS DRIVE BANKSIA BEACH,NO
497770.1,6986371.7417,32,Outlook Court Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,KALLANGUR,41 DIANE PARADE KALLANGUR,NO
500081.0368,6986053.4977,33,Kapalama Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,KALLANGUR,13-15 KAPALAMA ROAD KALLANGUR,NO
487548.6,6971831.6904,34,Harboe Park,Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,SAMFORD VALLEY,Lot 222 MT GLORIOUS ROAD SAMFORD VALLEY,NO
513428.6612,7008150.3301,35,Turnstone Park,Park\Local Recreatio,No,No,No,No,No,Yes,No,No,No,No,No,No,No,BANKSIA BEACH,5 KAKADU CIRCUIT BANKSIA BEACH,NO
478061.5366,7018443.995,36,Memorial Park (Woodford),Park\District Civic,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,WOODFORD,123 ARCHER STREET WOODFORD,NO
514806.258,7007553.0767,37,North Point Park,Park\Local Recreatio,No,No,No,No,No,Yes,No,No,No,No,No,No,No,BANKSIA BEACH,127 MARINA BOULEVARD BANKSIA BEACH,NO
509929.7607,6989781.1045,38,Seaeagle Canal Park,Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,NEWPORT,13A CONSTELLATION COURT NEWPORT,NO
491264.6077,7007057.4958,39,Caboolture Pony Club,Park\Specific use Sp,No,No,No,No,No,No,No,No,No,No,No,No,No,MOODLU,199 WILLIAMS ROAD MOODLU,NO
493740.3921,6971043.5373,40,Fernwood Reserve,Park\Linear Linkage,No,No,No,No,No,No,No,Yes,No,No,No,No,No,FERNY HILLS,10 LINKWOOD DRIVE FERNY HILLS,NO
516027.2826,7005691.6115,41,Dolphin Drive Park (East),Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,BONGAREE,59 DOLPHIN DRIVE BONGAREE,NO
498052.8999,6984489.4671,42,Ruth Whitfield Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,,,No
513437.2939,7009386.7837,43,Endeavour Drive Park (South),Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,BANKSIA BEACH,80 ENDEAVOUR DRIVE BANKSIA BEACH,NO
494036.2166,7001908.93,44,"95 Caboolture River Road, Caboolture",Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,MORAYFIELD,95 CABOOLTURE RIVER ROAD MORAYFIELD,NO
500959.1887,6988734.3663,45,Chalk Circuit Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,NORTH LAKES,26 CHALK CIRCUIT NORTH LAKES,NO
500018.1594,6987234.0685,46,Jenelle Park,Park\Local Recreatio,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,KALLANGUR,20 JENELLE STREET KALLANGUR,NO
488316.6684,7008574.6827,47,Bye Road Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,WAMURAN,15 BYE ROAD WAMURAN,NO
500490.5243,6984176.3601,48,Ogg Road Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,MURRUMBA DOWNS,9 OGG ROAD MURRUMBA DOWNS,NO
515793.9578,7004242.7015,49,Anzac Memorial Park,Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,BONGAREE,1 FIRST AVENUE BONGAREE,NO
478673.7797,7012017.3665,50,Augusta Street Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,DELANEYS CREEK,2-28 AUGUSTA COURT DELANEYS CREEK,NO
496866.2901,6995935.4661,51,Burpengary Sports Complex,Park\District Sports,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,BURPENGARY,69 HENDERSON ROAD BURPENGARY,NO
512780.6172,7004279.7066,52,Bestmann Road East Reserve,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,SANDSTONE POINT,169A BESTMANN ROAD SANDSTONE POINT,NO
496000.7675,7004002.661,53,Edward Street Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,CABOOLTURE,52 EDWARD STREET CABOOLTURE,NO
497177.7544,6983813.8414,54,Gordon Jackson Lookout,Park\Local Recreatio,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,PETRIE,69 DAYBORO ROAD PETRIE,NO
509738.6917,6989521.0113,55,Ibis Canal Park,Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,NEWPORT,14A FLEETWING AVENUE NEWPORT,NO
510161.4579,6991303.2971,56,Jim Finlay Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,NEWPORT,1A ENDEAVOUR ESPLANADE NEWPORT,NO
497697.6688,7010130.373,57,Panorama Court Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,ELIMBAH,21 PANORAMA COURT ELIMBAH,NO
510251.3192,6989801.6564,58,Tom Wallace Park,Park\Local Recreatio,No,No,No,No,No,No,No,Yes,No,No,No,No,No,SCARBOROUGH,123 EVERSLEIGH ROAD SCARBOROUGH,NO
510739.548,6985679.951,59,Lahore Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,WOODY POINT,53 WHYTECLIFFE PARADE WOODY POINT,NO
496631.3325,6975130.6655,60,Jacaranda Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,ALBANY CREEK,158 OLD NORTHERN ROAD ALBANY CREEK,NO
501910.1143,6992353.1883,61,385 Deception Bay Road,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,DECEPTION BAY,385 DECEPTION BAY ROAD DECEPTION BAY,NO
495668.7046,7007429.8759,62,Baxter Crescent Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,CABOOLTURE,18 MCCALLUM STREET CABOOLTURE,NO
502804.4999,6993086.655,63,Library Deception Bay,Park\District Recrea,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,DECEPTION BAY,9 BAYVIEW TERRACE DECEPTION BAY,NO
510045.2738,6990759.6284,64,Vista Court Reserve,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,SCARBOROUGH,16D OYSTER POINT ESPLANADE SCARBOROUGH,NO
501925.0287,6989301.0291,65,Quota Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,NORTH LAKES,1-9 TURNSTONE CIRCUIT NORTH LAKES,NO
493921.4208,6993936.4143,66,Greenway Central Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,NARANGBA,1-11 MITTA CRESCENT NARANGBA,NO
506377.8928,6989856.4748,67,Wattle Park,Park\Local Recreatio,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,ROTHWELL,14 WATTLE ROAD ROTHWELL,NO
494467.4327,6994924.796,68,Rusty Gum Court Reserve,Park\Linear Linkage,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,NARANGBA,30-42 RIVER OAK WAY NARANGBA,NO
496598.424,7008585.229,69,Amethyst Court Park,Park\Local Recreatio,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,CABOOLTURE,9 AMETHYST COURT CABOOLTURE,NO
500917.7928,6988520.7138,70,Palmer Street Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,NORTH LAKES,14 PALMER STREET NORTH LAKES,NO
496571.2119,6998820.3307,71,Paradise Road North Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,BURPENGARY,1 LAGOON ROAD BURPENGARY,NO
482534.4039,6991208.5816,72,Henry Bradley Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,,,NO
496645.2782,6984443.6469,73,Greg Pascoe Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,PETRIE,28 BEEVILLE ROAD PETRIE,NO
497132.7876,6969480.7727,74,Jessie Barker Reserve,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,EVERTON HILLS,59-65 OLEARIA STREET EVERTON HILLS,NO
497003.4743,6973606.9696,75,Lemke Park,Park\District Recrea,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,ALBANY CREEK,17 JAGORA DRIVE ALBANY CREEK,NO
477371.7251,7019584.3443,76,Lions Park South (Woodford),Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,WOODFORD,10 DURUNDUR STREET WOODFORD,NO
509204.5571,6987107.5427,77,Magnolia Park,Park\Linear Linkage,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,CLONTARF,192 MAINE ROAD CLONTARF,NO
499370.9402,6987721.0088,78,Stewart and Esme Wright Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,KALLANGUR,Lot 503 CINNABAR ROAD KALLANGUR,NO
497181.5037,6982091.0191,79,Bishop Court Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,LAWNTON,1 BISHOP COURT LAWNTON,NO
495066.8,7007059.9045,80,Dances Road Sportsgrounds,Park\District Sports,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,CABOOLTURE,107 DANCES ROAD CABOOLTURE,NO
497912.692,6984276.8801,81,Pine Crest,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,,,NO
500015.9129,6990640.3269,82,Mapleton Drive Park,Park\Linear Linkage,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,NORTH LAKES,125 MAPLETON DRIVE NORTH LAKES,NO
495058.108,7000662.5513,83,Morayfield Community & Sports,Park\District Sports,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,MORAYFIELD,298 MORAYFIELD ROAD MORAYFIELD,NO
493122.1338,7003774.789,84,Lotus Avenue,Park\Linear Linkage,Yes,No,No,No,No,No,No,No,No,No,No,No,No,BELLMERE,34-42 LOTUS AVENUE BELLMERE,NO
497845.3855,6973286.4845,85,The Boulevard Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,ALBANY CREEK,Lot 711 THE BOULEVARD ALBANY CREEK,NO
495047.939,6980790.373,86,Gum Street Reserve,Park\Linear Linkage,No,No,No,No,Yes,No,No,No,No,No,No,No,No,WARNER,13 GRETA STREET WARNER,NO
491404.5721,7002188.3883,87,Willowleaf Circuit Park,Park\Local Recreatio,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,UPPER CABOOLTURE,51-59 WILLOWLEAF CIRCUIT UPPER CABOOLTURE,NO
497721.5428,6983069.3978,88,Leis Park,Park\District Recrea,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,LAWNTON,17-29 LEIS PARADE LAWNTON,NO
502350.4658,6991124.7798,89,Penelope Place Park,Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,DECEPTION BAY,5 PENELOPE PLACE DECEPTION BAY,NO
494223.4654,6993861.3942,90,Cabbage Tree Park,Park\Local Recreatio,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,NARANGBA,28-30 MAGENTA CRESCENT NARANGBA,NO
497796.1921,6970566.3916,91,Dandaloo Reserve,Park\Linear Linkage,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,EVERTON HILLS,17-21 WALKERS ROAD EVERTON HILLS,NO
504921.7516,6990524.8815,92,Jim Mcgahey Park,Park\Linear Linkage,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,ROTHWELL,Lot 5 MORRIS ROAD ROTHWELL,NO
494992.2453,6976376.2951,93,Marina Court Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,EATONS HILL,18 MARINA COURT EATONS HILL,NO
509962.5471,6987891.1627,94,Bradley Park,Park\Local Sports Pa,No,No,No,No,Yes,No,No,No,No,No,No,No,No,REDCLIFFE,285-311 VICTORIA AVENUE REDCLIFFE,NO
497086.5372,6984910.1239,95,Nelson Cooke Park,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,PETRIE,23 VAUCLUSE CRESCENT PETRIE,NO
493505.2146,6970909.1262,96,Bert Hall Park,Park\Linear Linkage,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,FERNY HILLS,28-48 LINKWOOD DRIVE FERNY HILLS,NO
498974.6409,6986433.028,97,Blazey Street Park,Park\Local Recreatio,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,,,NO
500821.9021,6990255.0545,98,Kowari Crescent Park,Park\Linear Linkage,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,NORTH LAKES,18 AURORA BOULEVARD NORTH LAKES,NO
496737.7966,6997082.0171,99,C R Ernie Svenson Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,BURPENGARY,80 SPRINGFIELD DRIVE BURPENGARY,NO
495123.1336,7002755.6474,100,Dickson Road Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,MORAYFIELD,33 DICKSON ROAD MORAYFIELD,NO
502378.5894,6986635.519,101,Linear Drive Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,MANGO HILL,2 HALPINE DRIVE MANGO HILL,NO
500114.8154,6990166.0669,102,Wallis Circuit Park,Park\Linear Linkage,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,NORTH LAKES,10 WALLIS CIRCUIT NORTH LAKES,NO
513464.0908,7007554.8704,103,Sunset Park,Park\District Foresh,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,BANKSIA BEACH,1 MARINA BOULEVARD BANKSIA BEACH,NO
494214.3364,6992430.7496,104,Beswick Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,NARANGBA,1095-1099 OAKEY FLAT ROAD NARANGBA,NO
494262.2773,6981009.3323,105,Sonata Drive Reserve,Park\Local Recreatio,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,WARNER,38 SONATA DRIVE WARNER,NO
484579.0823,6976253.4214,106,Gordons Road Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,CEDAR CREEK,Lot 15 CEDAR CREEK ROAD CEDAR CREEK,NO
502126.7204,6986021.0799,107,Grace Court Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,MANGO HILL,18 FRESHWATER CREEK ROAD MANGO HILL,NO
503703.188,6986292.0137,108,Bonnet Parade Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,MANGO HILL,33 MALLARD STREET MANGO HILL,NO
503565.3796,6983658.8411,109,Griffin Sports Complex,Park\District Sports,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,GRIFFIN,Lot 415 ELIZABETH ROAD GRIFFIN,NO
509320.9767,6985160.8213,110,Bicentennial Park,Park\Regional Foresh,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,WOODY POINT,229 HORNIBROOK ESPLANADE WOODY POINT,NO
500962.3058,6988392.4354,111,Dawson Court Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NORTH LAKES,16-20 DICKSON CRESCENT NORTH LAKES,NO
492711.4534,6972208.1927,112,Surrey Farm Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,BUNYA,8 BERGIN CREEK ROAD BUNYA,NO
499946.355,6996132.9808,113,Muriel Court Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,BURPENGARY EAST,122 MAITLAND ROAD BURPENGARY EAST,NO
492321.5434,6999963.4926,114,Creekwood Place Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,MORAYFIELD,353 PETERSEN ROAD MORAYFIELD,NO
500979.3117,6988892.9471,115,Cowen Terrace Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,NORTH LAKES,104-124 COWEN TERRACE NORTH LAKES,NO
496149.5288,6970923.7656,116,Ron Stanton Place,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,ARANA HILLS,4 WARRIGAL PLACE ARANA HILLS,NO
494724.5221,6970542.7651,117,Brian Battersby Park,Park\Local Recreatio,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,ARANA HILLS,39 YINGALLY DRIVE ARANA HILLS,NO
505989.6782,6989572.6297,118,Teak Street Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,ROTHWELL,23 TEAK STREET ROTHWELL,NO
493919.3771,7000593.9385,119,Trinity Way Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,MORAYFIELD,118-132 WOODROSE ROAD MORAYFIELD,NO
493771.621,6999948.7952,120,Petersen Road Sportsgrounds,Park\District Sports,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,MORAYFIELD,187-235 PETERSEN ROAD MORAYFIELD,NO
508035.3797,6988547.4346,121,Ham Street Park,Park\Linear Linkage,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,KIPPA-RING,39 CASCADE STREET KIPPA-RING,NO
507288.2403,7007459.6019,122,Bribie Pines Reserve,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,NINGI,13-31A AQUANITA COURT NINGI,NO
498270.0253,6981521.7209,123,Alleena Park,Park\Local Recreatio,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,BRAY PARK,65 IRULA STREET BRAY PARK,NO
501290.8529,6990287.682,124,Brumby Parade Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,NORTH LAKES,26 POSSUM PARADE NORTH LAKES,NO
495745.6085,7003254.1249,125,Dularcha Street Park,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,CABOOLTURE SOUTH,19 DULARCHA STREET CABOOLTURE SOUTH,NO
501206.4412,6995025.8701,126,Blue Pacific Road Reserve,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,DECEPTION BAY,86 BLUE PACIFIC ROAD DECEPTION BAY,NO
494576.2684,6987360.3767,127,Scouts Road Reserve,Park\Specific use Sp,No,No,No,No,No,No,No,No,No,No,No,No,No,KURWONGBAH,Lot 108 SCOUT ROAD KURWONGBAH,NO
508921.2643,6989943.3817,128,Swan Canal Park,Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,NEWPORT,12A DEFENDER STREET NEWPORT,NO
510744.5006,6984871.2477,129,Gayundah Arboretum Park,Park\Regional Foresh,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,WOODY POINT,Lot 1 GAYUNDAH ESPLANADE WOODY POINT,NO
504954.5261,6998400.0393,130,Beachmere Lagoon,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,BEACHMERE,7 KUNDE STREET BEACHMERE,NO
510846.4718,6985617.4735,131,Scotts Point Progress Park,Park\Regional Foresh,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,No
509367.3874,6987261.0437,132,Chartwell Park,Park\Local Recreatio,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,MARGATE,26-28 CHARTWELL STREET MARGATE,NO
497589.899,6996108.2539,133,North Shore Drive Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,BURPENGARY,1047-1055 BRUCE HIGHWAY BURPENGARY,NO
481771.1066,6998203.0887,134,Rosalie Tebby Reserve,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,OCEAN VIEW,Lot 3 OCEAN VIEW ROAD OCEAN VIEW,NO
510150.5079,7009725.804,135,Toorbul Esplanade (Foreshore),Park\Local Foreshore,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,TOORBUL,Lot 2 THE ESPLANADE TOORBUL,NO
502301.841,6987885.5136,136,College Street Reserve,Park\Local Recreatio,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,NORTH LAKES,9-13 COLLEGE STREET NORTH LAKES,NO
511111.029,6990561.0392,137,Mein Street Park,Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,SCARBOROUGH,20A MEIN STREET SCARBOROUGH,NO
500787.078,6987351.5511,138,Empire Street Park,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,NORTH LAKES,10 STATEN STREET NORTH LAKES,NO
497217.9012,6988137.2061,139,Pine Rivers Golf Course,Park\Specific use Sp,No,No,No,No,No,No,No,No,No,No,No,No,No,KURWONGBAH,Lot 225 NARANGBA ROAD KURWONGBAH,NO
